Hybrid identity narratives ,Transparency and accountability cues ,Storytelling and personal narratives,Current social movements 
Förderungsstrategie,Compliance-System,Echte Menschen,Degrowth
Führungsidentität,Corporate Governance,einblick  ,Demokratie
Führungsnarrativ,Corporate Social Responsibility,einfühlung  ,demokratie  
Gemeinwohl und Gewinn,CSR-Bericht,einfühlungsvermögen  ,Demokratiebewegung
Gemeinwohlbilanz,CSRD-Konformität,Einschnitt,Digitale Teilhabe
Gemeinwohlgewinn,daten  ,einsetzen ,diskriminierung  
Gemeinwohlökonomie,Datenoffenlegung,Einsicht,Diversität
Gemeinwohlorientiert,Datenschutz-Compliance,einzelschicksal  ,diversität  
Gemeinwohlorientierte Bilanz,Diversity-Report,emotion  ,diversitätsanspruch  
Gemeinwohlorientierte Expansion,Echtzeit-Reporting,Emotionale Bindung,Diversity-Management
Gemeinwohlorientierte Skalierung,Energieeffizienzlabel,emotionsebene  ,Empowerment
gemeinwohlorientiertes Wirtschaften  ,Ethikrichtlinien,Emotionserzählung,Energiewende
Gemeinwohlorientierung,evaluationskriterium  ,Empathie,Entwicklungshilfe
Gemeinwohlunternehmen,evaluationsprozess  ,empathie  ,Equal Pay
Geschäftsethik,Fair-Trade-Siegel,Empathieaufbau,Ernährungssicherheit
Geschäftsidentität,Gender-Pay-Gap-Transparenz,empfänger  ,Ernährungssouveränität
Geschäftskompetenz,Governance-Bericht,empfindung  ,Ernährungswende
Geschäftsstrategie,Governance-Compliance,empowerment  ,Erneuerbare Energien
Gesellschaftliche Wirkung,Governance-Mechanismus,Empowerment-Story,ethik  
Gewinn mit Sinn  ,Governance-Struktur,Engagement,Ethischer Wandel
Gewinnorientiert,Impact-Dashboard,engagement  ,ExtinctionRebellion
Glaubwürdigkeit,Impact-Report,Entschlossenheit,Fairness
Gleichgewicht,Inklusionskennzahlen,Entwicklung,fairness  
Grenzgänger,Inspiration,entwicklung  ,Fairtrade
hybrides Geschäftsmodell  ,Interne Kontrolle,erfahrung  ,Feminismus
Hybrididentität,Interne Revision,Erfahrungsbericht,Flüchtlingshilfe
Hybridmodell,ISO-Zertifizierung,Erfahrungsteilen,förderung  
Hybridorganisation,kennziffer  ,Erfahrungswert,Frauenmarsch
Hybridunternehmen,kontrollbericht  ,Erfolgsbeispiel,Frauenrechte
Identitätsarbeit,kontrollinstanz  ,Erfolgsgeschichte,freiheit  
Identitätsbildung,kontrollmechanismus  ,Erfolgsweg,freiheitssicherung  
Identitätsfusion,kontrollrahmen  ,erhebung  ,FridaysForFuture
Identitätsnarrativ,kontrollsystem  ,Erkenntnis,Gegen Hetze
Identitätssynthese,Kreislaufwirtschaftsbericht,Erkenntnispfad,gemeinschaft  
Impact Integration,Leistungsbericht,Erlebnis,Genderdiversität
Impact Unternehmen,Leistungsindikatoren,erlebnis  ,Gendergerechtigkeit
Impactgewinn,leistungskennzahl  ,Erlebnisbericht,gerecht  
Impactstartup,Lieferkettentransparenz,erlebniswelt  ,gerechtfertigt  
Impactstrategie,Menschenrechtsbericht,Erwachen,gerechtfertigung  
Impactunternehmen,messbarkeit  ,erzählebenen  ,Gerechtigkeit
Integrationsprofil,messung  ,erzählen  ,gerechtigkeit  
Integrationsstrategie,monitoring  ,erzähllogik  ,gerechtigkeitsanspruch  
Integratives Management,nachhaltigkeitsaudit  ,erzähltechnik  ,Gerechtigkeitsbewegung
Intersektionalität,Nachhaltigkeitsbericht,Erzählung,gesellschaft  
kombinierte Zielverfolgung  ,nachhaltigkeitsbericht  ,Ethischer Ursprung,Gesellschaftlicher Wandel
Konvergenz,nachhaltigkeitsindikator  ,Fair-Labor,Gesellschaftspolitik
Leistungsindikator,Nachhaltigkeitskennzahlen,fallbeispiel  ,gesundheit  
leistungsversprechen  ,Nachhaltigkeitskommunikation,Fallstudie,Gesundheitsgerechtigkeit
Leitbild,Nachhaltigkeitsmonitoring,Familiengeschichte,Gesundheitszugang
Marktorientierung mit Mission  ,Nachhaltigkeitsprüfung,Familienwert,Gewerkschaft
mehrfachnutzen  ,Nachhaltigkeitsstandards,feedback  ,gleichbehandlung  
Mehrwertanspruch,Nachhaltigkeitsstrategie,fokusperson  ,Gleichberechtigung
Messbare Ziele,Nachhaltigkeitszertifikat,foto  ,gleichberechtigung  
Mission Balance,nachhaltigkeitsziel  ,gefühl  ,Gleichstellung
Mission Fusion,nachvollziehbarkeit  ,gefühlsebene  ,gleichstellung  
Mission und Profit  ,offenlegen,Gefühlswelt,Grassroots-Mobilisierung
missionsbalance  ,Offenlegung,gefühlswelt  ,grundeinkommen  
Missionserfolge,offenlegung  ,gegenüberstellung  ,Indigene Rechte
missionsorientierung  ,Offenlegungsbericht,Gemeinsamkeit,Inklusion
missionstreue  ,offenlegungsbericht  ,Gemeinschaftserlebnis,inklusion  
Moralische Legitimität,Offenlegungspflicht,Gemeinwohl,Jugendbewegung
Moralische Verbindung,Offenlegungspraktiken,generationengerechtigkeit  ,Jugendprotest
Mosaikidentität,offenlegungsstandard  ,Generationengeschichte,Kampagnenbeteiligung
Multiperspektivität,Offenlegungsstandards,gerechtigkeitsfrage  ,klima  
Nachhaltiges Wirtschaften,Offenlegungsverpflichtung,geschichte  ,Klimaanpassung
Nachhaltigkeitsberichterstattung,öffentlichkeitsarbeit  ,geschichtenform  ,Klimabewegung
Nachhaltigkeitsgewinn,Ökobilanzierung,gesicht  ,Klimabündnis
Nachhaltigkeitsziel,Open-Data-Portal,gestaltung  ,Klimademonstration
Organisationscharakter,Persönliche Aussage,Glaubwürdigkeitsnarrativ,Klimagerechtigkeit
Organisationscharakterentwicklung,Persönliche Botschaft,gleichheit  ,Klimainitiative
Organisationsentwicklung,Persönliche Darstellung,gründer  ,Klimaneutralität
Organisationsgestaltung,Persönliche Erfahrung,Gründerstory,Klimapakt
Organisationsidentität,Persönliche Erzählung,handlung  ,Klimapolitik
Organisationskultur,Persönliche Haltung,Heldengeschichte,Klimaschutz
Organisationskulturentwicklung,Persönliche Handschrift,Herausforderung,klimaschutz  
Pragmatische Legitimität,Persönliche Identität,Herzensangelegenheit,Klimaschutzaktion
Professionalisierung,Persönliche Initiative,Herzensprojekt,Klimaschutzbewegung
Professionalisierung im Sozialbereich  ,Persönliche Motivation,hintergrund  ,Klimaschutzbündnis
Profit und Zweck,Persönliche Note,Hintergrundgeschichte,Klimaschutzengagement
Profitorientierung,Persönliche Perspektive,Hoffnungsgeschichte,Klimaschutzgesetz
Purpose-Driven Business  ,Persönliche Sichtweise,Hoffnungsträger,Klimaschutzinitiative
Ressourcenmanagement,Persönliche Stimme,Identifikation,Klimaschutzkampagne
Schnittmengen,Persönliche Story,identifikation  ,Klimaschutzmaßnahme
Schnittstellenkompetenz,Persönliche Überzeugung,Identitätsfindung,Klimaschutzprogramm
Skalierbarkeit,Persönliche Verantwortung,Impact-Visualisierung,Klimaschutzprojekt
Social Business,Persönliche Verbindung,initiativen  ,Klimaschutzstrategie
Sozialbalance,Persönliche Vision,Inspirationsquelle,Klimaschutzverein
Sozialbedeutung,Persönliche Werte,interaktion  ,Klimastreik
Sozialbewusstsein,Persönliche Ziele,Interview,Koalitionsmitgliedschaft
Sozialbündnis,Persönlicher Antrieb,interview  ,Kohleausstieg
Sozialchance,Persönlicher Beitrag,intimität  ,kollaboration  
Soziale Innovation,Persönlicher Bericht,kampagne  ,Konsumkritik
Soziale Kompetenz,Persönlicher Einfluss,Kindheitserinnerung,Konsumverzicht
Soziale Rendite,Persönlicher Einsatz,kommunikation  ,Kreislaufwirtschaft
Soziale Verantwortung,Persönlicher Hintergrund,Körperpositivität,kulturen  
Soziale wertschöpfung  ,Persönlicher Weg,Kulturelle Identität,Landrechte
Sozialengagement,Persönliches Engagement,Kulturporträt,LGBTQ
Sozialentwicklung,Persönliches Statement,Lebensabschnitt,Lieferkettenethik
Sozialer Gewinn,Persönlichkeit,Lebensaufgabe,macht  
sozialer Impact  ,Produktherkunftsnachweis,Lebensgeschichte,marginalisierung  
Sozialer Mehrwert,prüfung  ,Lebensstation,menschenrecht  
sozialer Mehrwert  ,prüfungssystem  ,Lebenstraum,Menschenrechte
Sozialer Return on Investment  ,publikation  ,Lebensverändernde Story,Menschenrechtsbewegung
Sozialerfolg,publikationspflicht  ,Lebenswerk,Menschenwürde
sozialertrag  ,Qualitätskontrolle,Lebensziel,Mental-Health-Advocacy
soziales Geschäftsmodell  ,qualitätssicherung  ,Lebensziele,Mietendeckel
Soziales Geschäftsökosystem,Rechenschaft,Leidenschaft,Migrationsrecht
Soziales Impact Assessment,Rechenschaftsbericht,Leidenschaftsmanifest,minderheit  
Soziales Kapital,Rechenschaftspflicht,Leidensweg,Minority Rights
Soziales Unternehmensmodell,Rechenschaftsprozesse,Lernmoment,Modern-Slavery-Aktivismus
Soziales Unternehmensnetzwerk,Recycling-Zertifikate,Lernprozess,Nachhaltigkeit
Soziales Unternehmensportfolio,Regelkonformität,Lokale Perspektive,nachhaltigkeitsbewegung  
Soziales Unternehmenswachstum,regelkonformität  ,Lokale Verbundenheit,Nachhaltigkeitstransformation
soziales Unternehmertum  ,regelwerk  ,Mensch-zentrierter Ansatz,Neurodiversität
Soziales Wertemanagement,Regulatorische Anforderungen,Mission-Driven-Journey,Obdachlosigkeit
Sozialförderer,Reportingstrategie,Missionserzählung,offenheit  
Sozialförderung,revisionspflicht  ,Mitgefühl,Open Source
Sozialgenossenschaft,richtlinie  ,Motivation,organisierung  
Sozialgründung,Risikokontrolle,Motivationsgeschichte,partizipation  
Sozialidee,Risikomanagement,Mutmachgeschichte,Petitionen
Sozialimpact,risikomanagement  ,nähe  ,Pflegegerechtigkeit
Sozialimpuls,Risikomanagement-Offenlegung,nähegefühl  ,Pflegeoffensive
Sozialinitiative,Risikomanagementsystem,Narrative Authentizität,Plastikvermeidung
Sozialinnovation,Sozialbericht,netzwerk  ,plurale  
Sozialinvestition,Sozialer Fußabdruck,Normative Legitimität,Postkolonialismus
Sozialkapital,Stakeholder-Bericht,persönlich einsetzen ,Postwachstum
Sozialkapitalismus,Stakeholder-Dialog,persönlichkeit  ,Protestunterstützung
Sozialkommerzielle Synergie,Stakeholder-Dialoge,persönlichkeiten,Queerbewegung
sozialkommerzieller Ansatz  ,Stakeholder-Engagement,Persönlichkeitsentwicklung,Recht auf Stadt
Sozialkonzept,Stakeholder-Transparenz,Persönlichkeitsprofil,rechtsschutz  
Sozialmanagement,standard  ,Persönlichkeitsstärke,Reichtumsumbewertung
Sozialmission,standardisierung  ,Pioniergeist,relevanz  
Sozialmodell,standardsystem  ,Porträt,repräsentation  
Sozialmotivation,stimme  ,Progressive Werte,respekt  
Sozialnetzwerk,stimmung  ,protest  ,Ressourcenschutz
Sozialökonomie,Story-Driven-Marketing,Purpose-Narrative,revolution  
sozialökonomische Synergie  ,struktur  ,Reale Auswirkungen,
Sozialplanung,symbolik  ,realität  ,
Sozialprofil,Taxonomie-Bericht,reflexion ,Seenotrettung
Sozialprofit,Teamgeschichte,reise  ,Selbstbestimmung
Sozialreinvestition,Testimonial,reportage  ,selbstbestimmung  
Sozialrendite,testimonium  ,resonanz  ,selbstorganisation  
Sozialrendite  ,Third-Party-Verifizierung,rollenbild  ,selbstvertretung  
Sozialstartups,Tierwohllabel,Rückblick,selbstwirksamkeit  
Sozialstiftung,Transformation,Rückschlag,Seniorenrechte
Sozialstrategie,Transparenz,Schicksal,sichtbarkeit  
Sozialunternehmen,transparenzbericht  ,schicksal  ,Social Justice
sozialunternehmerische Lösung  ,Transparenzbewertung,schilderung  ,Solidarität
Sozialunternehmerisches Ökosystem,Transparenzdokumentation,Schlüsselmoment,solidaritätsbekundung  
Sozialunternehmertum,Transparenzindikatoren,Selbstbeobachtung,Solidaritätsbewegung
Sozialunterstützung,Transparenzinitiative,Selbstbericht,Sozialbewegung
Sozialverantwortliche Innovation,Transparenzkontrolle,Selbstbewertung,Sozialer Fortschritt
Sozialvernetzung,Transparenzkultur,Selbstbezug,Sozialer Protest
Sozialverpflichtung,Transparenzmanagement,Selbstbildnis,Sozialer Wandel
Sozialvision,Transparenzmaßnahmen,Selbstbiografie,sozialethik  
Sozialwirkung,Transparenzpolitik,Selbstdarstellung,Sozialforum
Sozialwirtschaft,Transparenzrichtlinie,Selbstentdeckung,Sozialgerechtigkeit
sozialwirtschaftliche Innovation  ,Transparenzstandards,Selbstentwicklung,Sozialpartnerschaft
Sozialwirtschaftlichkeit,überprüfung  ,Selbsterfahrung,Sozialpolitik
Sozialziel,überprüfungskriterium  ,Selbsterkenntnis,Sozialprotest
Stakeholder Management,Überwindung,Selbsterzählung,sozialraum  
Stakeholder Value,Überwindungsgeschichte,Selbstgeschichte,Sozialreform
strategische Gemeinwohlorientierung  ,Umweltbericht,Selbstidentifikation,sozialstruktur  
Strategisches Management,User-Generated-Content,Selbstnarrativ,Sozialverantwortung
Strategisches Wachstum,veranschaulichung  ,Selbstporträt,stärkung  
Symbiose,Verantwortlichkeit,Selbsttestimonium,Tierschutz
synergie  ,verantwortlichkeit  ,Selbstüberwindung,Tierschutzbewegung
Synergieeffekt,Verantwortungsbericht,Selbstverantwortung,Transformationsbewegung
Transparente Wertschöpfung,Verantwortungsbewusstsein,Selbstverständlichkeit,transformationswille  
Triple Bottom Line  ,Verantwortungskultur,Selbstvertrauen,
Überschneidung,Verantwortungsnachweis,Selbstwirksamkeit,Transrechte
umsetzungsmodell  ,Verantwortungsorientierung,Selbstzeugnis,Umweltbewegung
Unternehmensethik,Verantwortungsprozess,setzen uns ein ,Umweltgerechtigkeit
Unternehmensethos,Verantwortungsstrategie,sichtweise  ,Umweltschutz
Unternehmensidentität,Verantwortungsübernahme,situation  ,umweltschutz  
unternehmenszweck  ,verbindlichkeit  ,Social-Justice-Champion,ungleichheit  
Unternehmerische Professionalität,verbindung  ,Social-Media-Story,Urban Gardening
Unternehmerische Wirkung,Verfahrensdokumentation,solidarität  ,veränderung  
unternehmerische Wirkung  ,vergleichbarkeit  ,sozialpolitik  ,verantwortung  
Verantwortungsunternehmen,vergleichssystem  ,sozialwandel  ,verantwortungsethik  
Verbindungskraft,verifikation  ,spannung  ,Verkehrswende
verknüpfungspunkt  ,verifizierung  ,sprachstil  ,verteilungsfrage  
Vielschichtigkeit,verlauf  ,Steuergerechtigkeit,vertretung  
Wachstum mit Wirkung  ,Vertrauensaufbau,Tagebuchauszug,Vielfalt
Wachstumsfokus,Vertrauensbildung,teilhabe  ,vielfalt  
wachstumsziel  ,Vertrauenswürdigkeit,Traumverwirklichung,vielfaltsforderung  
Wertintegration,video  ,Umbruch,vielfaltsgedanke  
Wertorientierung,Visionär,umwelt  ,wahrheit  
wertschöpfung  ,visualisierung  ,Umweltbewusstsein,Wassergerechtigkeit
Wirkungsgewinn,Visuelles Storyboard,Ursprungsgeschichte,Welternährung
Wirkungsmessung,Vorbild,Veränderungsimpuls,Welthungerhilfe
Wirkungsorientierung,Vorbildfunktion,Verbundenheit,widerstand  
Wirkungsstartups,Wandel,Vorreiterrolle,widerstandsfähigkeit  
Wirtschaft und Soziales,wandel  ,Wegbegleiter,widerstandsform  
wirtschaftliche Nachhaltigkeit  ,Wandelgeschichte,Wendepunkt-Erfahrung,Wohnrecht
Wirtschaftsethik,Wassermanagement-Bericht,Wertebasiertes Bündnis,ZeroWaste
Wirtschaftsorientierung,Wassersiegel,wertepluralismus  ,Zivilgesellschaft
Wirtschaftssozial,weg  ,Wertewandel,Zukunftsgerechtigkeit
Zieldualität,Wendepunkt,wir setzen uns ein ,
Zieldualität  ,wert  ,zivilgesellschaft  ,
Zielkonvergenz ,Werte,Zugehörigkeit,
Zielorientierung,Wertegeleitete Vision,zukunftsfähigkeit  ,
Zukunftsfähigkeit,Wertegeschichte,Zukunftsvision,
Zweckorientiert,Wertevermittlung,,
zweckorientierter Gewinn  ,Whistleblower-System,,
zweifache Wertschöpfung  ,Widerstand,,
,wirklichkeit  ,,
,zertifikat  ,,
,Zertifizierte Materialien,,
,zertifizierungsprozess  ,,
,Zielerreichung,,
,Zielstrebigkeit,,
,Zieltransparenz,,
,Zitat,,
